"Kinase"
"CDK2"
"ATM"
"AKT2"
"PKACa"
"PKCb"
"PKCd"
"PKCa"
"IRAK4"
"Erk1"
"p38a"
"Erk2"
"CK2a1"
"PAK1"
"SRC"
"PDK1"
"PKG1"
"PKG2"
"CDC2"
"UL97"
"CDK4"
"CDK6"
"CDK5"
"CDK9"
"AurB"
"MAPKAPK2"
"AKT1"
"CDK7"
"RSK3"
"p70S6K"
"RSK2"
"CaMK2a"
"CaMK4"
"CHK1"
"AMPKa1"
"PKD1"
"MAP3K7"
"MARK2"
"GSK3B"
"JNK1"
"PKCi"
"PKCz"
"JAK2"
"MAP2K1"
"RET"
"PKCe"
"AurA"
"CDC7"
"HIPK2"
"MARK3"
"ARAF"
"NDR1"
"SGK1"
"p38d"
"NuaK1"
"RAF1"
"ROCK1"
"KIS"
"MYT1"
"Wee1"
"FRAP"
"DYRK2"
"CHK2"
"p70S6Kb"
"ChaK1"
"Erk5"
"PLK1"
"MER"
"AXL"
"GSK3A"
"DNAPK"
"PKN1"
"PKCt"
"BRAF"
